title,link,image
Happiness is a warm puppy,https://teespring.com/happiness-is-a-warm-puppy-2017,http://hendrixjoseph.github.io/images/teespring/happiness-is-a-warm-puppy-2017.png
Happiness is a warm puppy,https://teespring.com/happiness-is-a-warm-puppy-17-b,http://hendrixjoseph.github.io/images/teespring/happiness-is-a-warm-puppy-2017b.png
I Love My Cockapoo,https://teespring.com/i-love-my-cockapoo-2017,http://hendrixjoseph.github.io/images/teespring/i-love-my-cockapoo.png
Who Rescued Who,https://teespring.com/who-rescued-who-2017-a,http://hendrixjoseph.github.io/images/teespring/who-rescued-who.png
