title,price,asin,image
I Love My Dog T-Shirt,12.00,B06XJ77XKC,i-love-my-dog-t-shirt.jpg
My Dog is my Player 2 T-Shirt,12.00,B0716M4W1Z,my-dog-is-my-player-2-t-shirt.jpg
Dogs Are Love T Shirt,15.00,B072N9CKT4,dogs-are-love-t-shirt.jpg
Dog Friendly T Shirt,15.00,B074FL2ZP5,dog-friendly-t-shirt.jpg
You Say Crazy Dog Lady Like It's a Bad Thing T-Shirt,15.00,B076B79W1Z,crazy-dog-lady-t-shirt.jpg
Love is a Four Legged Word T-Shirt,15.00,B078C8DZZG,love-is-a-four-legged-word-t-shirt.jpg
You Can't Buy Love But You Can Rescue It T-Shirt,15.00,B077T159HV,you-cant-buy-love-but-you-can-rescue-it-t-shirt.jpg
